"label","species_id","genus","species","taxa","ott_name","approximate_match","ott_id","is_synonym","flags"
"amphispiza bilineata","AB","Amphispiza","bilineata","Bird","Amphispiza bilineata",FALSE,292646,FALSE,""
"ammospermophilus harrisi","AH","Ammospermophilus","harrisi","Rodent","Ammospermophilus harrisii",TRUE,580350,FALSE,""
"ammodramus savannarum","AS","Ammodramus","savannarum","Bird","Ammodramus savannarum",FALSE,420998,FALSE,""
"baiomys taylori","BA","Baiomys","taylori","Rodent","Baiomys taylori",FALSE,39171,FALSE,""
"campylorhynchus brunneicapillus","CB","Campylorhynchus","brunneicapillus","Bird","Campylorhynchus brunneicapillus",FALSE,800237,FALSE,""
"calamospiza melanocorys","CM","Calamospiza","melanocorys","Bird","Calamospiza melanocorys",FALSE,948123,FALSE,""
"callipepla squamata","CQ","Callipepla","squamata","Bird","Callipepla squamata",FALSE,728092,FALSE,""
"crotalus scutalatus","CS","Crotalus","scutalatus","Reptile","Crotalus scutulatus",TRUE,600073,FALSE,""
"cnemidophorus tigris","CT","Cnemidophorus","tigris","Reptile","Aspidoscelis tigris",FALSE,690595,TRUE,""
"cnemidophorus uniparens","CU","Cnemidophorus","uniparens","Reptile","Aspidoscelis uniparens",FALSE,336153,TRUE,""
"crotalus viridis","CV","Crotalus","viridis","Reptile","Crotalus viridis",FALSE,600069,FALSE,""
"dipodomys merriami","DM","Dipodomys","merriami","Rodent","Dipodomys merriami",FALSE,37456,FALSE,""
"dipodomys ordii","DO","Dipodomys","ordii","Rodent","Dipodomys ordii",FALSE,917328,FALSE,""
"dipodomys spectabilis","DS","Dipodomys","spectabilis","Rodent","Dipodomys spectabilis",FALSE,748116,FALSE,""
"dipodomys sp.","DX","Dipodomys","sp.","Rodent",NA,NA,NA,NA,NA
"eumeces obsoletus","EO","Eumeces","obsoletus","Reptile","Plestiodon obsoletus",FALSE,993927,TRUE,"sibling_higher"
"gambelia silus","GS","Gambelia","silus","Reptile","Gambelia sila",FALSE,760473,TRUE,""
"neotoma albigula","NL","Neotoma","albigula","Rodent","Neotoma albigula",FALSE,156843,FALSE,""
"neotoma sp.","NX","Neotoma","sp.","Rodent","Geotoga sp.",TRUE,7040633,FALSE,"not_otu"
"onychomys leucogaster","OL","Onychomys","leucogaster","Rodent","Onychomys leucogaster",FALSE,427266,FALSE,""
"onychomys torridus","OT","Onychomys","torridus","Rodent","Onychomys torridus",FALSE,1004154,FALSE,""
"onychomys sp.","OX","Onychomys","sp.","Rodent",NA,NA,NA,NA,NA
"chaetodipus baileyi","PB","Chaetodipus","baileyi","Rodent","Chaetodipus baileyi",FALSE,764435,FALSE,""
"pipilo chlorurus","PC","Pipilo","chlorurus","Bird","Pipilo chlorurus",FALSE,463020,FALSE,""
"peromyscus eremicus","PE","Peromyscus","eremicus","Rodent","Peromyscus eremicus",FALSE,576102,FALSE,""
"perognathus flavus","PF","Perognathus","flavus","Rodent","Perognathus flavus",FALSE,1024543,FALSE,""
"pooecetes gramineus","PG","Pooecetes","gramineus","Bird","Pooecetes gramineus",FALSE,765407,FALSE,""
"perognathus hispidus","PH","Perognathus","hispidus","Rodent","Chaetodipus hispidus",FALSE,427276,TRUE,""
"chaetodipus intermedius","PI","Chaetodipus","intermedius","Rodent","Chaetodipus intermedius",FALSE,374303,FALSE,""
"peromyscus leucopus","PL","Peromyscus","leucopus","Rodent","Peromyscus leucopus",FALSE,764828,FALSE,""
"peromyscus maniculatus","PM","Peromyscus","maniculatus","Rodent","Peromyscus maniculatus",FALSE,377525,FALSE,""
"chaetodipus penicillatus","PP","Chaetodipus","penicillatus","Rodent","Chaetodipus penicillatus",FALSE,1004164,FALSE,""
"pipilo fuscus","PU","Pipilo","fuscus","Bird","Kieneria fusca",FALSE,463029,TRUE,""
"chaetodipus sp.","PX","Chaetodipus","sp.","Rodent","Chaetonotus sp.",TRUE,83213,FALSE,"not_otu, incertae_sedis"
"reithrodontomys fulvescens","RF","Reithrodontomys","fulvescens","Rodent","Reithrodontomys fulvescens",FALSE,39181,FALSE,""
"reithrodontomys megalotis","RM","Reithrodontomys","megalotis","Rodent","Reithrodontomys megalotis",FALSE,732037,FALSE,""
"reithrodontomys montanus","RO","Reithrodontomys","montanus","Rodent","Reithrodontomys montanus",FALSE,208412,FALSE,""
"reithrodontomys sp.","RX","Reithrodontomys","sp.","Rodent","Reithrodontomys",TRUE,732029,FALSE,""
"sylvilagus audubonii","SA","Sylvilagus","audubonii","Rabbit","Sylvilagus audubonii",FALSE,532394,FALSE,""
"spizella breweri","SB","Spizella","breweri","Bird","Spizella breweri",FALSE,463034,FALSE,""
"sceloporus clarki","SC","Sceloporus","clarki","Reptile","Sceloporus clarkii",FALSE,624292,TRUE,""
"sigmodon fulviventer","SF","Sigmodon","fulviventer","Rodent","Sigmodon fulviventer",FALSE,646440,FALSE,""
"sigmodon hispidus","SH","Sigmodon","hispidus","Rodent","Sigmodon hispidus",FALSE,576095,FALSE,""
"sigmodon ochrognathus","SO","Sigmodon","ochrognathus","Rodent","Sigmodon ochrognathus",FALSE,39197,FALSE,""
"spermophilus spilosoma","SS","Spermophilus","spilosoma","Rodent","Xerospermophilus spilosoma",FALSE,121776,TRUE,""
"spermophilus tereticaudus","ST","Spermophilus","tereticaudus","Rodent","Xerospermophilus tereticaudus",FALSE,833672,TRUE,""
