"species_id","genus","species","taxa","search_string"
"AB","Amphispiza","bilineata","Bird","amphispiza bilineata"
"AH","Ammospermophilus","harrisi","Rodent","ammospermophilus harrisi"
"AS","Ammodramus","savannarum","Bird","ammodramus savannarum"
"BA","Baiomys","taylori","Rodent","baiomys taylori"
"CB","Campylorhynchus","brunneicapillus","Bird","campylorhynchus brunneicapillus"
"CM","Calamospiza","melanocorys","Bird","calamospiza melanocorys"
"CQ","Callipepla","squamata","Bird","callipepla squamata"
"CS","Crotalus","scutalatus","Reptile","crotalus scutalatus"
"CT","Cnemidophorus","tigris","Reptile","cnemidophorus tigris"
"CU","Cnemidophorus","uniparens","Reptile","cnemidophorus uniparens"
"CV","Crotalus","viridis","Reptile","crotalus viridis"
"DM","Dipodomys","merriami","Rodent","dipodomys merriami"
"DO","Dipodomys","ordii","Rodent","dipodomys ordii"
"DS","Dipodomys","spectabilis","Rodent","dipodomys spectabilis"
"DX","Dipodomys","sp.","Rodent","dipodomys sp."
"EO","Eumeces","obsoletus","Reptile","eumeces obsoletus"
"GS","Gambelia","silus","Reptile","gambelia silus"
"NL","Neotoma","albigula","Rodent","neotoma albigula"
"NX","Neotoma","sp.","Rodent","neotoma sp."
"OL","Onychomys","leucogaster","Rodent","onychomys leucogaster"
"OT","Onychomys","torridus","Rodent","onychomys torridus"
"OX","Onychomys","sp.","Rodent","onychomys sp."
"PB","Chaetodipus","baileyi","Rodent","chaetodipus baileyi"
"PC","Pipilo","chlorurus","Bird","pipilo chlorurus"
"PE","Peromyscus","eremicus","Rodent","peromyscus eremicus"
"PF","Perognathus","flavus","Rodent","perognathus flavus"
"PG","Pooecetes","gramineus","Bird","pooecetes gramineus"
"PH","Perognathus","hispidus","Rodent","perognathus hispidus"
"PI","Chaetodipus","intermedius","Rodent","chaetodipus intermedius"
"PL","Peromyscus","leucopus","Rodent","peromyscus leucopus"
"PM","Peromyscus","maniculatus","Rodent","peromyscus maniculatus"
"PP","Chaetodipus","penicillatus","Rodent","chaetodipus penicillatus"
"PU","Pipilo","fuscus","Bird","pipilo fuscus"
"PX","Chaetodipus","sp.","Rodent","chaetodipus sp."
"RF","Reithrodontomys","fulvescens","Rodent","reithrodontomys fulvescens"
"RM","Reithrodontomys","megalotis","Rodent","reithrodontomys megalotis"
"RO","Reithrodontomys","montanus","Rodent","reithrodontomys montanus"
"RX","Reithrodontomys","sp.","Rodent","reithrodontomys sp."
"SA","Sylvilagus","audubonii","Rabbit","sylvilagus audubonii"
"SB","Spizella","breweri","Bird","spizella breweri"
"SC","Sceloporus","clarki","Reptile","sceloporus clarki"
"SF","Sigmodon","fulviventer","Rodent","sigmodon fulviventer"
"SH","Sigmodon","hispidus","Rodent","sigmodon hispidus"
"SO","Sigmodon","ochrognathus","Rodent","sigmodon ochrognathus"
"SS","Spermophilus","spilosoma","Rodent","spermophilus spilosoma"
"ST","Spermophilus","tereticaudus","Rodent","spermophilus tereticaudus"
"SU","Sceloporus","undulatus","Reptile","sceloporus undulatus"
"SX","Sigmodon","sp.","Rodent","sigmodon sp."
"UL","Lizard","sp.","Reptile","lizard sp."
"UP","Pipilo","sp.","Bird","pipilo sp."
"UR","Rodent","sp.","Rodent","rodent sp."
"US","Sparrow","sp.","Bird","sparrow sp."
"ZL","Zonotrichia","leucophrys","Bird","zonotrichia leucophrys"
"ZM","Zenaida","macroura","Bird","zenaida macroura"
