"species_id","genus","species","taxa","search_string","unique_name"
"AB","Amphispiza","bilineata","Bird","amphispiza bilineata","Amphispiza bilineata"
"AH","Ammospermophilus","harrisi","Rodent","ammospermophilus harrisi","Ammospermophilus harrisii"
"AS","Ammodramus","savannarum","Bird","ammodramus savannarum","Ammodramus savannarum"
"BA","Baiomys","taylori","Rodent","baiomys taylori","Baiomys taylori"
"CB","Campylorhynchus","brunneicapillus","Bird","campylorhynchus brunneicapillus","Campylorhynchus brunneicapillus"
"CM","Calamospiza","melanocorys","Bird","calamospiza melanocorys","Calamospiza melanocorys"
"CQ","Callipepla","squamata","Bird","callipepla squamata","Callipepla squamata"
"CS","Crotalus","scutalatus","Reptile","crotalus scutalatus","Crotalus scutulatus"
"CT","Cnemidophorus","tigris","Reptile","cnemidophorus tigris","Aspidoscelis tigris"
"CU","Cnemidophorus","uniparens","Reptile","cnemidophorus uniparens","Aspidoscelis uniparens"
"CV","Crotalus","viridis","Reptile","crotalus viridis","Crotalus viridis"
"DM","Dipodomys","merriami","Rodent","dipodomys merriami","Dipodomys merriami"
"DO","Dipodomys","ordii","Rodent","dipodomys ordii","Dipodomys ordii"
"DS","Dipodomys","spectabilis","Rodent","dipodomys spectabilis","Dipodomys spectabilis"
"DX","Dipodomys","sp.","Rodent","dipodomys sp.",NA
"EO","Eumeces","obsoletus","Reptile","eumeces obsoletus","Plestiodon obsoletus"
"GS","Gambelia","silus","Reptile","gambelia silus","Gambelia sila"
"NL","Neotoma","albigula","Rodent","neotoma albigula","Neotoma albigula"
"NX","Neotoma","sp.","Rodent","neotoma sp.","Geotoga sp."
"OL","Onychomys","leucogaster","Rodent","onychomys leucogaster","Onychomys leucogaster"
"OT","Onychomys","torridus","Rodent","onychomys torridus","Onychomys torridus"
"OX","Onychomys","sp.","Rodent","onychomys sp.",NA
"PB","Chaetodipus","baileyi","Rodent","chaetodipus baileyi","Chaetodipus baileyi"
"PC","Pipilo","chlorurus","Bird","pipilo chlorurus","Pipilo chlorurus"
"PE","Peromyscus","eremicus","Rodent","peromyscus eremicus","Peromyscus eremicus"
"PF","Perognathus","flavus","Rodent","perognathus flavus","Perognathus flavus"
"PG","Pooecetes","gramineus","Bird","pooecetes gramineus","Pooecetes gramineus"
"PH","Perognathus","hispidus","Rodent","perognathus hispidus","Chaetodipus hispidus"
"PI","Chaetodipus","intermedius","Rodent","chaetodipus intermedius","Chaetodipus intermedius"
"PL","Peromyscus","leucopus","Rodent","peromyscus leucopus","Peromyscus leucopus"
"PM","Peromyscus","maniculatus","Rodent","peromyscus maniculatus","Peromyscus maniculatus"
"PP","Chaetodipus","penicillatus","Rodent","chaetodipus penicillatus","Chaetodipus penicillatus"
"PU","Pipilo","fuscus","Bird","pipilo fuscus","Kieneria fusca"
"PX","Chaetodipus","sp.","Rodent","chaetodipus sp.","Chaetonotus sp."
"RF","Reithrodontomys","fulvescens","Rodent","reithrodontomys fulvescens","Reithrodontomys fulvescens"
"RM","Reithrodontomys","megalotis","Rodent","reithrodontomys megalotis","Reithrodontomys megalotis"
"RO","Reithrodontomys","montanus","Rodent","reithrodontomys montanus","Reithrodontomys montanus"
"RX","Reithrodontomys","sp.","Rodent","reithrodontomys sp.","Reithrodontomys"
"SA","Sylvilagus","audubonii","Rabbit","sylvilagus audubonii","Sylvilagus audubonii"
"SB","Spizella","breweri","Bird","spizella breweri","Spizella breweri"
"SC","Sceloporus","clarki","Reptile","sceloporus clarki","Sceloporus clarkii"
"SF","Sigmodon","fulviventer","Rodent","sigmodon fulviventer","Sigmodon fulviventer"
"SH","Sigmodon","hispidus","Rodent","sigmodon hispidus","Sigmodon hispidus"
"SO","Sigmodon","ochrognathus","Rodent","sigmodon ochrognathus","Sigmodon ochrognathus"
"SS","Spermophilus","spilosoma","Rodent","spermophilus spilosoma","Xerospermophilus spilosoma"
"ST","Spermophilus","tereticaudus","Rodent","spermophilus tereticaudus","Xerospermophilus tereticaudus"
"SU","Sceloporus","undulatus","Reptile","sceloporus undulatus","Sceloporus undulatus"
"SX","Sigmodon","sp.","Rodent","sigmodon sp.",NA
"UL","Lizard","sp.","Reptile","lizard sp.",NA
"UP","Pipilo","sp.","Bird","pipilo sp.","Papio sp."
"UR","Rodent","sp.","Rodent","rodent sp.","Rodentia sp."
"US","Sparrow","sp.","Bird","sparrow sp.",NA
"ZL","Zonotrichia","leucophrys","Bird","zonotrichia leucophrys","Zonotrichia leucophrys"
"ZM","Zenaida","macroura","Bird","zenaida macroura","Zenaida macroura"
