Species,Plot,Sex,Weight,Year,Month,Day,Weight_Notes
DM ,2,F,,2013,7,16,
DM,7,M,33,2013,7,16,
DM,3,M,,2013,7,16,
DM,1,M ,,2013,7,16,
DM,3,M,40,2013,7,18,
DM,7,M,48,2013,7,18,
DM,4,F,29,2013,7,18,
DM,4,F,46,2013,7,18,
DM,7, M,36,2013,7,18,
DM,7,F,35,2013,7,18,
DM,8,F,22,2013,7,18,
DM,7,F,42,2013,7,18,
DM,4,F ,41,2013,7,18,
DM,6,F,37,2013,7,18,
DO,8,F,52,2013,8,19,
DO,3,F,33,2013,10,17,
DO,3,F,50,2013,10,17,
DO,17,F,48,2013,10,17,
DO,17,F,31,2013,10,17,
DO,8,F,41,2013,10,18,
DO,1,F,44,2013,11,12,
DO,1,M,48,2013,11,12,
DO,8,F,39,2013,11,14,
DO,9,F,40,2013,12,10,
DO,1,M,45,2013,12,10,
DO,8,F,41,2013,12,11,
DS,9,F,117,2013,11,12,
DS,1,F,121,2013,11,12,
DS,20,M,115,2013,11,12,
DS,9,F,120,2013,11,12,
DS,17,F,118,2013,11,13,
DS,11,F,126,2013,11,13,
DS,17,M,132,2013,11,13,scale not calibrated
DS,14,F,113,2013,11,13,scale not callibtrated
DS,11,F,122,2013,11,13,
DS,4,F,107,2013,11,13,
DS,4,F ,115,2013,11,13,
