"species","Wood_density","Leaf_N","SLA","Seed_mass","Height","Leaf_P"
"Macleania rupestris",0.539168450068035,11.8702367095413,5.233279577,2.0538308639167,2.47500166764144,0.707338673853683
"Coleostephus myconis",0.700375315314692,24.4341008523667,20.9256968161025,0.32,0.490750826887682,1.93597800740016
"Guatteria oliviformis",0.500777359488549,23.54603416,16.3098158407695,127.082572081179,16.5535876569007,1.11482
"Myrsine africana",0.639051888998138,12.9,11.6241510001676,11.7,15.2099828168806,0.8675
"Chrysophyllum viride",0.698534070286944,18.1405838960478,12.8873557525672,2000,17.4286478058014,0.787302512337913
"Ouratea hexasperma",0.744754102746372,15.8,7.29,147.92432703537,7.45638184306398,0.763
"Pradosia schomburgkiana",0.753666666666667,15.8745078592167,14.8814078372217,4602.35832783785,21.3859472371585,0.734688058541561
"Rubus megalococcus",0.590951530374766,21.5276733389967,18.8724970001969,24.2,2.97966802551028,1.59686667708303
"Guapira cuspidata",0.492266666666667,22.1571663685151,17.1620062811393,512.701645662558,14.5539709249439,1.27164498980345
"Aquilegia formosa",0.590853571673285,29.6445964461581,21.2395535316867,1.299292,1,2.88622099021618
"Licaria triandra",0.685,9.9,13.9633333333333,1120.46840852561,14,0.988522833828082
"Melianthus major",0.605709778986903,22.9205,19.3456745498398,662.027314284842,7.95770591806969,1.50390853527738
"Oxandra asbeckii",0.77,25.391852432913,17.109012284979,1984.68792139416,13.2812805364216,0.903478549747114
"Veronica fruticans",0.561097069899379,19.2555315148536,16.692,0.125,0.089375,2.1023404417906
"Crotalaria virgulata",0.750320117990518,27.8108517791772,13.2069197787306,3.5,8.03998666866106,1.67040557911754
"Jacaranda hesperia",0.35,29.8337990967836,30.9628372318814,14.1253329438053,18.0956313549433,1.76082088027004
"Salvia carduacea",0.577190313617701,19.6549019058887,11.7988017419524,3.03233333333333,0.95283050274322,1.71387107345616
"Prosartes smithii",0.534193511072023,27.6889278004293,10.4304061055289,23.653,1.35772552945916,2.20462678486787
"Licania apetala",0.763383,14.36805371424,15.9909203653272,2425.30118097449,21.1948684587485,0.610358284607582
"Pleiacanthus spinosus",0.571523494261372,27.7980819084533,25.5320660760237,0.72,0.424745427972741,2.29403749039156
"Spondias purpurea",0.317142857142857,32.401636682,25.1025,13,15,2.05392849
"Ammi visnaga",0.555755947959335,31.1215233419015,33.1220899629713,0.731428571428571,0.411708469849797,3.24618314256235
"Ephedranthus amazonicus",0.816,23.5642935106997,19.9928359232373,1984.68792139416,13.2812805364216,0.899484029418423
"Sisyrinchium longipes",0.499402911411054,30.1580525174191,12.2955243806778,0.9,0.387683734934166,2.12502906018184
"Yucca rostrata",0.478600661093743,25.8809028896644,16.634972570111,82.1876234383264,4.8768,1.22956257321874
"Rudgea jasminoides",0.5667410783566,22.666685115272,19.4655790652664,200,5.12864999227159,0.803165400856405
"Xylopia macrantha",0.8739040315,23.9,28.6051567414685,157.4055,20,1.04434158674971
"Streptanthella longirostris",0.57881151940793,36.8820114422821,17.3001089110904,0.346,0.47407917498655,2.773578303745
"Faramea occidentalis",0.612275789473684,16.74778195,19.6264417489474,232.109,5.74869158878505,0.688985134
"Salix glauca",0.454569500919578,24.7666666666667,8.27094358097182,0.0558890024030329,0.601666666666667,1.89866763213735
"Chaetocarpus schomburgkianus",0.804938333333333,10,22.2105641140597,263.585633312017,9.81792957679411,1.53503069533405
"Persea liebmannii",0.507932024098597,17.7,13.0666928066554,3461.60398968158,17.6374677106089,0.887225
"Eschweilera rufifolia",0.761315241235862,21.3,13.371,1831.6978152782,37.0835668690185,0.995884196980105
"Vaccinium euryanthum",0.539168450068035,13.589020667365,13.9261559874261,0.14,2.47500166764143,0.762190208309112
"Ocotea leucoxylon",0.4618875,24.7,15.02670048,1267.35502886131,17.713544812776,0.95166
"Claytonia perfoliata",0.533880441579371,29.3467809524996,45.1702448047143,1.220675,0.157963,1.94763542516997
"Agonandra peruviana",0.814550226672434,36.2,13.317,297.68120757857,5.6800626108964,3.91365490312087
"Helianthus radula",0.523449689993182,24.6292592592593,1.52187203903746e-05,11.3032596339079,1.11962367609003,2.77666666666667
"Piptadenia viridiflora",0.86,31.0968048378031,19.5478534882484,1029.35665929083,14.894159104881,1.26650793036684
"Trichostema lanatum",0.596180993652746,24.2610101727623,22.7418100315536,2.66133333333333,1.13193640916635,1.8894068140781
"Artemisia biennis",0.736200692562831,22.4642030021924,13.34,0.239184466375018,0.65,2.46379632886038
"Hackelia deflexa",0.553660400255587,32.0668643471179,26.4568067412334,19.46675,0.467444609526113,2.39525182421033
"Salix hookeriana",0.454569500919578,22.7461680450553,9.60046473846215,0.0783569041989833,15.24,1.90339158667047
"Opuntia basilaris",0.536916357736825,26.3114082858556,26.5955588197425,41.8255,3.99476668817572,1.7532103164128
"Annona reticulata",0.55,36.909,21.3022530806096,234.439952478036,11.818135067736,1.53519
"Paraserianthes lophantha",0.614160188954129,32.7915254237288,16.1313055836684,52.6442857142857,15.0767831188999,1.19420857295647
"Pachyrhizus erosus",0.534627203075319,34.9650510431327,19.5945322981731,481.5,3.52650585584221,2.38661345333947
"Camelina sativa",0.57881151940793,37.5356447739415,20.1688924299372,1.15042857142857,0.415,3.52525686513162
"Sparganium erectum",0.529771519739539,17.7735025089944,18.76,18.71,0.53125,1.69534551181557
"Jacaratia mexicana",0.16,29.0909983512846,27.3597402142108,6,15,1.76130190109301
"Cornus racemosa",0.600258421767782,14.75,8.112271680041,30.8766884,6.6912,1.55823641073006
"Parapiptadenia rigida",0.8721875,37.3653406818933,18.025775376695,18137.9245352883,25,1.2863156103828
"Rhodostemonodaphne kunthiana",0.457009317865248,18.9,11.945,983.55614046634,13.9462072933241,1.01074008035503
"Acer rubrum",0.49,16.9414722222222,20.5013331845914,22.7645646666667,36.9942,1.115
"Myrsine dependens",0.639051888998138,15.2806945615868,6.8840160292,4995.30629026712,15.2099828168806,0.971697772964656
"Alchornea grandis",0.34,12.65,24.2004121389606,68.4834257788648,17.3709186239003,1.62853359934607
"Casearia grandiflora",0.77,25.2889423601697,22.3439202021682,22.6262439860026,14.8961195450908,1.0739109994856
"Trichilia maynasiana",0.69,26.4,18.468,427.461138644373,16.6964087059468,1.5830507764969
"Jacaranda puberula",0.58,29.8337990967836,30.9628372318814,14.1253329438053,5,1.76082088027004
"Elsholtzia ciliata",0.543170361939671,20.3422172094386,19.9655250440304,0.215,0.375,2.12145629985014
"Parkia gigantocarpa",0.26,31.0528020706205,19.5576876514962,1088.82444573395,14.9650074671555,1.26763485498573
"Cyperus squarrosus",0.529771519739539,24.1234045023746,31.6423379236904,0.021,0.481381377104606,3.06452825656035
"Eugenia luschnathiana",0.774600763512034,17.315840667719,11.5115289182573,11,12.4491005105939,0.919867622940793
"Pouteria macrophylla",0.7436,12.1,13.6866666666667,9150,29,0.829945732845229
"Acacia podalyriifolia",0.68,26.7216312516988,6.3442148295653,32.650563,23.8019338367576,0.785709878904548
"Fallopia dumetorum",0.796754181286358,32.791293637828,29.6758333333333,3.06866666666667,1.85,2.16801372730475
"Protium spruceanum",0.56,16.9804582257662,20.8134000323538,268.751511630873,19.6735025034293,0.861992380125409
"Polygonum parryi",0.741561430580077,31.2441407857775,20.4550481209399,0.659,3.41868595490952,1.78958890598553
"Swartzia benthamiana",0.689352631578947,29.2,23.991075,1512.53708850986,15.38976436436,1.10313424359931
"Staphylea trifolia",0.348726677990053,22.3739248273306,11.1752770245986,41.53,10.9728,1.32176646940946
"Nassella viridula",0.529771519739539,39.4479037800043,34.9991104186547,2.16,0.646276279353822,1.82004616631097
"Polygala cruciata",0.71931819398224,24.4363698045023,19.0642983593672,0.614,0.26,1.61130000757937
"Rhamnus alnifolia",0.702137454663553,20.9095846809524,12.9981775467628,11.9790246666667,0.9,1.30258508623064
"Swietenia mahagoni",0.63,16.7257814680167,18.4761170673544,110,24.0792,0.956539151168536
"Helianthus maximiliani",0.523449689993182,47.5133333333333,2.46330917432121e-05,1.9,2.28662548464878,2.7
"Spinacia oleracea",0.507931593527477,26.6587628407985,32.368,6.75411764705882,0.375,2.18579993483729
"Lupinus succulentus",0.750320117990518,25.2125939207575,16.5429579032399,24.7225,1.19823760203541,1.81967723319584
"Erythrina smithiana",0.19,35.5475281939555,17.7399910599972,312.749293058543,10.3806923517335,1.54417349021599
"Astragalus newberryi",0.654036212572734,35.8616687482848,17.6051613939877,11.8,0.672105586857253,1.74095257262949
"Amyris elemifera",1.05,26.2829676835199,15.0491342000914,339.397501091755,6.7056,1.12757073490064
"Juncus alpinoarticulatus",0.529771519739539,17.8817656693524,13.406,7.90857350069691,0.605136652235086,2.34618186674519
"Chaerophyllum tainturieri",0.555755947959335,31.7677360302281,26.3709227621406,2.72,0.514450211370743,2.84470408767033
"Salix nigra",0.36,22.4223412216396,17.89999999,0.06,26.5824,2.21474612713592
"Leymus chinensis",0.529771519739539,18.981,10.7947046599286,12.262245437739,1.26374934044712,1.1337037037037
"Pentaclethra macroloba",0.603427809363636,30.9899038522588,18.6723484987167,3242.69114842722,32,1.34325060086119
"Compsoneura capitellata",0.516674617671402,20,16.804,2753.11537635473,29.5817012874866,1.09852181551027
"Brosimum parinarioides",0.63064176725,20.3770963957148,19.9974038617368,431.919032591417,24.2660757527434,1.84483380021961
"Eriogonum ovalifolium",0.629503242769373,31.5655978150728,11.2712675221991,1.02,12.4791867884415,2.18263478125628
"Iresine arbuscula",0.48,30.2107848691453,20.0469665754166,0.95,24,1.77298161530262
"Lepidium lasiocarpum",0.57881151940793,41.4372723535881,24.1549399233209,0.3388,0.35648154762189,3.17840571451669
"Salix floridana",0.376690339401886,22.4223412216396,15.5357415585173,0.570302942233394,6.096,2.21474612713592
"Amaranthus hybridus",0.500819197442229,35.6425243184029,22.1192873763862,0.427775,0.55,1.77298161530262
"Strychnos bredemeyeri",0.590894692091952,18.5,19.16,29235.6364209907,6.55189168199542,1.11990425690742
"Nassella trichotoma",0.529771519739539,39.1929352802777,34.0850466079258,0.32,0.646716431321917,1.82004616631097
"Castanea mollissima",0.574038166666667,22.3070302297417,13.3257005583375,7428.705246,27.6210482325267,1.23256562521832
"Miconia tomentosa",0.71,22.1,18.302,31.5482348572778,10,0.821634118810088
"Desmopsis microcarpa",0.73084951506005,31.86192,18.3205545250869,8705.91541167356,11.4304182047447,0.66701
"Pseudopiptadenia pittieri",0.603333333333333,34.0007193267371,31.4036165985126,7585.33217687679,19.5792992935307,1.2863156103828
"Sphaeralcea parvifolia",0.4882920955511,36.8898898110747,9.48831281159154,0.92,3.12285426689036,1.57602709945294
"Ligustrum vulgare",0.8050175,16,10.9346673326673,21.1269478333333,3.46428571428571,1.1
