"","species","lat","lon","fullCountry"
"1","Dendrohyrax arboreus",-1.357095,36.718655,"Kenya"
"2","Dendrohyrax arboreus",-1.356291,36.719737,"Kenya"
"3","Dendrohyrax arboreus",0.003221,36.945708,"Kenya"
"4","Dendrohyrax arboreus",-1.426575,35.071036,"Kenya"
"5","Dendrohyrax arboreus",-5.074732,38.702922,"Tanzania, United Republic of"
"6","Dendrohyrax arboreus",-1.336434,36.777592,"Kenya"
"7","Dendrohyrax arboreus",-0.154624,37.012037,"Kenya"
"8","Dendrohyrax arboreus",-1.359068,36.718629,"Kenya"
"9","Dendrohyrax arboreus",-0.111629,36.973005,"Kenya"
"10","Dendrohyrax arboreus",-0.142082,36.926074,"Kenya"
"11","Dendrohyrax arboreus",-1.354282,29.619333,"Uganda"
"12","Dendrohyrax arboreus",-0.155074,37.011593,"Kenya"
"13","Dendrohyrax arboreus",-0.155074,37.011593,"Kenya"
"14","Dendrohyrax arboreus",-1.327323,36.755161,"Kenya"
"15","Dendrohyrax arboreus",-1.327323,36.755161,"Kenya"
"16","Dendrohyrax arboreus",-1.352227,36.712135,"Kenya"
"17","Dendrohyrax arboreus",-18.040446,35.201961,"Mozambique"
"18","Dendrohyrax arboreus",-5.101566,38.628765,"Tanzania, United Republic of"
"19","Dendrohyrax arboreus",-5.101566,38.628765,"Tanzania, United Republic of"
"20","Dendrohyrax arboreus",-3.193736,37.513077,"Tanzania, United Republic of"
"21","Dendrohyrax arboreus",-3.179081,37.512047,"Tanzania, United Republic of"
"22","Dendrohyrax arboreus",-3.193736,37.513077,"Tanzania, United Republic of"
"23","Dendrohyrax arboreus",3.140088,37.304848,"Kenya"
"24","Dendrohyrax arboreus",-3.190051,37.438961,"Tanzania, United Republic of"
"25","Dendrohyrax arboreus",-3.184737,37.357635,"Tanzania, United Republic of"
"26","Dendrohyrax arboreus",3.140088,37.304848,"Kenya"
"27","Dendrohyrax arboreus",3.140088,37.304848,"Kenya"
"28","Dendrohyrax arboreus",3.153714,37.289143,"Kenya"
"29","Dendrohyrax arboreus",3.153714,37.289143,"Kenya"
"30","Dendrohyrax arboreus",-3.176682,37.361755,"Tanzania, United Republic of"
"31","Dendrohyrax arboreus",-3.193693,37.440163,"Tanzania, United Republic of"
"32","Dendrohyrax arboreus",3.160913,37.361927,"Kenya"
"33","Dendrohyrax arboreus",-3.166998,37.362141,"Tanzania, United Republic of"
"34","Dendrohyrax arboreus",3.163741,37.367249,"Kenya"
